Name,About,URL,Publication Type,Sector,Purpose,,TAGS,Digital Harms Addressed,TechFocus,,Sponsoring Org,,Author(s)/Editors,Audience,,Working group,License,Volume Frequency,Version or Edition,Date,,Status,,,,Jurisdiction,,,,Github Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Transfer Project Overview and Fundamentals,"The Data Transfer Project (DTP) extends data portability beyond a user’s ability to download a copyof their data from their service provider (“provider”), to providing the user the ability to initiate a1direct transfer of their data into and out of any participating provider.The Data Transfer Project is an open source initiative to encourage participation of as manyproviders as possible. The DTP will enhance the data portability ecosystem by reducing theinfrastructure burden on both providers and users, which should in turn increase the number ofservices offering portability. The protocols and methodology of the DTP enable direct,service-to-service data transfer with streamlined engineering work",https://datatransferproject.dev/dtp-overview.pdf,,,,,,,,,Data Transfer Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safe Face Pledge,The Safe Face Pledge is an opportunity for organizations to make public commitments towards mitigating the abuse of facial analysis technology. This historic pledge prohibits lethal use of the technology: lawless police use: and requires transparency in any government use.,https://www.safefacepledge.org,,,,,,,,,Algorithmic Justice League;  the Center on Technology & Privacy at Georgetown Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trustarc Privacy and Data Governance Framework,"Establish, maintain and continually evolve and improve a privacy program aligned with other information governance, compliance and risk management functions such as security, IP and trade secret protection and e-discovery",https://www.trustarc.com/products/privacy-platform/trustarc-privacy-data-governance-framework/,,,,,,,,,TrustArc / Trust-e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Justice Principles,"Design mediates so much of our realities and has tremendous impact on our lives, yet very few of us participate in design processes. In particular, the people who are most adversely affected by design decisions — about visual culture, new technologies, the planning of our communities, or the structure of our political and economic systems — tend to have the least influence on those decisions and how they are made.

Design justice rethinks design processes, centers people who are normally marginalized by design, and uses collaborative, creative practices to address the deepest challenges our communities face.",https://designjusticenetwork.org/read-the-principles,,,,,,,,,Design Justice Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Data Bodies Playbook,Our Data Bodies (ODB) has conducted research and produced a workbook of popular education activities focused on data: surveillance: and community safety to co-create and share knowledge: analyses: and tools for data justice and data access for equity. We hope that our work will enhance trusted models of community health and safety and help illuminate the differences between being safe and being secure.,https://alliedmedia.org/news/2019/02/07/our-data-bodies-playbook-out,,,,,,,,,Allied Media Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects and Organizations Database,"Search Projects & Organizations
Explore the organizations and projects. Something missing? Add it here
",https://morethancode.cc/orglist/,,,,,,,,,#MoreThanCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Fiduciary Consortium: A United Front,"“Data is the new oil” is an often used phrase that aims to underscore the weight of how much data nowfuels our information economy. Consumers hand over incredibly personal data in exchange for freeservices, often without realizing what the true implications of that deal entails.  Understandably,companies have business models to follow and must compete in their markets. However, now morethan ever – particularly with the recent move by Congress to roll back user privacy rules for ISPs – weare at a breaking point. There needs to be change.",https://berkmancenter.github.io/datatransparency/ifc-brief.pdf,,,,,,,,,Information Fiduciary Consortium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Plan: Trustless Computing Certification Body and the Seevik Net Ecosystem,"Society is growing more and more reliant on digital services, and associated hardware and software platforms. However, a 2018  Gallup survey found that (US) citizens are twice more worried about cybercrime than any other crime, including terrorism, murder, car theft and sexual assault. A 2019 UBS survey found that cybercrime was the second highest concern, after their “their country politics”, even for the World 16 million high net-worth individuals. Therefore it would be sensible to conduct a radical rethink of security and trustworthiness of digital ecosystems.",https://static1.squarespace.com/static/59c38d4c9f8dcee4a34ddcf6/t/5d96233db2c2e2229198da4d/1570120517291/tca-tccb-strategic-plan.pdf,,,,,,,,,Trustless Computing Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tech Pledge,"Tech has fundamentally changed our world. Where we go from here is up to us.
I understand that for my good intentions to actually matter, I must make myself accountable to my community.
",https://www.techpledge.org/#!,,,,,,,,,Techfestival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST Privacy Framework,"The NIST Privacy Framework is currently under development. NIST envisions that it will be a voluntary tool for organizations to better identify, assess, manage, and communicate about privacy risks so that individuals can enjoy the benefits of innovative technologies with greater confidence and trust.",https://www.nist.gov/privacy-framework,,,,,,,,,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAI Code of Conduct,"The NAI Code of Conduct, is a set of self-regulatory principles which all NAI member companies must agree to uphold in order to be members. The Code requires notice and choice with respect to Personalized Advertising, limits the types of data that member companies can use for advertising purposes, and imposes a host of substantive restrictions on member companies' collection, use, and transfer of data used for Personalized Advertising. ",https://www.networkadvertising.org/sites/default/files/nai_code2018.pdf,,,,,,,,,Network Advertising Initiative,,,,,,,,,,,,,,,,,,,,https://www.networkadvertising.org/code-enforcement/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer protection: Privacy by design for consumer goods and services,To provide a standard whereby product (i.e. goods and services) designers and providers can demonstrate through consumer protection fulfilling the need to protect consumers from fraud: ransom demands: and other forms of privacy invasion and privacy breaking exploits resulting from lost and stolen personal data and high-jacking of consumer devices. Particularly of concern is the protection of children and the more vulnerable consumer.,https://iapp.org/media/pdf/resource_center/ISO%20NWIP%20(Privacy%20by%20design%20for%20consumer%20goods%20and%20services).pdf,,,,,,,,,COPOLCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM 4 –Newwork item proposalVersion 02/2017Form 4: New Work Item Proposal,"A proposal for a new work item within the scope of an existing committee shall be submitted to the secretariat of that committee with a copy to the Central Secretariat and, in the case of a subcommittee, a copy to the secretariat of the parent technical committee. Proposals not within the scope of an existing committee shall be submitted to the secretariat of the ISO Technical Management Board.The proposer of a new work item may be a member body of ISO, the secretariat itself, another technical committee or subcommittee, an organization in liaison, the Technical Management Board or one of the advisory groups, or the Secretary-General.The proposal will be circulated to the P-members of the technical committee or subcommittee for voting, and to the O-members for information.",https://www.iso.org/files/live/sites/isoorg/files/store/en/PUB100433.pdf,,,,,,,,,ISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPrice - Collective Awareness Platform for Privacy Concerns and Expectations (with subtitles),"Many of the devices (smartphones, smart TVs etc) and digital services (apps, web services etc) that are part of our everyday routine require access to our personal data in order to function. Often, these data are subsequently given to third parties and used for tracking and advertising purposes. Even though such practices are usually specified in the associated Terms and Conditions, these are complex legal documents that most people don’t actually read.

We believe in a world where private data are protected from unjustified access and where people are truly aware of the privacy-related ramifications of using different devices or digital services. To realize this vision, we propose a crowdsourcing solution that will harness the power of the masses to improve the awareness of people on the content of Terms and Conditions, as well as to explicate the community’s related expectations, thereby exerting pressure on developers in supporting such expectations.

Everybody can be part of our community. Visit our page to support this collaborative effort and to learn real stories of how digital services occasionally misuse our personal data.",https://youtu.be/4L8gOfU9MXg,Video,,,,,,,,CAPrice (Collective Awareness Platform for Privacy Concerns and Expectations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDS REFERENCE ARCHITECTURE MODEL | INDUSTRIAL DATA SPACE,"THE INDUSTRIAL DATA SPACE IS A VIRTUAL DATA SPACE LEVERAGING EXISTING STANDARDS AND TECHNOLOGIES, AS WELL AS ACCEPTED GOVERNANCE MODELS FOR THE DATA ECONOMY, TO FACILITATE THE SECURE AND STANDARDIZED EXCHANGE AND EASY LINKAGE OF DATA IN A TRUSTED BUSINESS ECOSYSTEM. IT THEREBY PROVIDES A BASIS FOR SMART SERVICE SCENARIOS AND INNOVATIVE CROSS-COMPANY BUSINESS PROCESSES, WHILE AT THE SAME TIME MAKING SURE DATA SOVEREIGNTY IS GUARANTEED FOR THE PARTICIPATING DATA OWNERS.",https://www.internationaldataspaces.org/wp-content/uploads/dlm_uploads/2018/04/InternationalDataSpacesAssociation_ReferenzArchitecture2.0.pdf,,,,,,,,,International Data Spaces,,,,,,,,Version 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consultation on regulatory proposals on consumer IoT security ,"The Department for Digital, Culture, Media and Sport (DCMS) is consulting on regulatory proposals regarding consumer Internet of Things security.

The UK Government takes the issue of consumer IoT security very seriously. We recognise the urgent need to move the expectation away from consumers securing their own devices and instead ensure that strong cyber security is built into these products by design.

Having worked with stakeholders, experts and the National Cyber Security Centre (NCSC), we are now consulting on proposals for new mandatory industry requirements to ensure consumer smart devices adhere to a basic level of security. The proposals set out in this consultation seek to better protect consumers’ privacy and online security which can be put at risk by insecure devices.
",https://www.gov.uk/government/consultations/consultation-on-regulatory-proposals-on-consumer-iot-security,,government,,publication: regulation: policy development,,,IOT,,GOV.UK,,,,,,,,,,,,,,"national
",UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do No Harm License,"Do No Harm software license - A licence for using software for good

A license for developers who write open source code to make the world a better place

As developers we can no longer close our eyes to the fact that open source code is being used by individuals and organizations to the detriment of our society.

The Do No Harm License is for developers that agree in general with the principles of open source software, but are uncomfortable with their software being used as part of efforts to destroy lives, our environment and our future.

In short, developers who use this license want their code to contribute to a just world for all.",https://github.com/raisely/NoHarm,,open source,,,,,,,Raisely,,,,,,,,,,,,,,,,,,,https://github.com/raisely/NoHarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification of Everyday Living V1.0 COEL,COEL is a hierarchical taxonomy of everyday human life events. It provides a privacy-by-design framework for collecting and processing behavioral data that is uniquely suited to the transparent use of dynamic data for personalized digital services: IoT applications where devices are collecting information about identifiable individuals: and the coding of behavioral data in identity solutions.,http://docs.oasis-open.org/coel/COEL/v1.0/cs02/COEL-v1.0-cs02.pdf,,,,,,,,,Oasis: Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visualizing Life,"Digital technologies can help us to understand the complexities of our daily lives.

The Classification of Everyday Living is a holistic, hierarchical taxonomy that sits at the heart of the COEL Standard. This intuitive tool allows you to explore the machine readable data structures (JSON).
",https://coelition.org/business/resources/visualising-life/,,,,,"Publications, Parent",,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COEL Standard,"Coelition has driven the creation of the COEL Standard to provide interoperability, transparency and open access.

The COEL Standard specification development is managed with the OASIS framework (www.oasis-open.org/committees/coel/). OASIS is a non-profit consortium that drives the development, convergence and adoption of open standards for the global information society.

The COEL specifications provide interoperability at the data layer with a knowledge base and data model. The roles and responsibilities of all the different actors are clearly defined alongside the data flows. It sets out the minimum requirements for a safe, operational ecosystem – leaving as much room as possible for innovation and competition. Finally, it is an interface specification that only defines how data is to be exchanged.
",https://coelition.org/business/resources/coel-standard/,,,,,,,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data to Life,"This book describes the background to Coelition and why it is needed to facilitate the enormous benefits new technologies can deliver, without creating an unacceptable level of intrusion for the individual.

It provided impetus for the early stages of Coelition and a public-domain focus to discuss the ideas on which Coelition is built.

We hope the book will be relevant to anyone with an interest in how we collect and process information about our daily lives, not just to those who go on to use the Coelition standard.  Equally, it should be completely possible for a developer to implement the standard without having read this text.",https://coelition.org/business/resources/data-to-life/,,,,,,,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelition Privacy Policy Repository,This repository lists privacy policies published via the Coelition wesbite.,https://coelition.org/business/resources/policy-repository/,,,,,"Publications, Parent",,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developers,"These developer resources explain the sequence and details of the operations that are required to interact within the Coelition ecosystem.

The SDK download provides code samples for .NET, Java, Python, iOS and Android that cover the key systems interactions. The rest of this page describes these interactions and example embodiments can be found in the case studies. Hash tags are used to link the description below with the code in the SDK. ",https://coelition.org/business/resources/developers/,,,,,,,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coelition in Action – Case Studies,"Trusted services with data protection built in.

Our approach is not simple pro-privacy. We exist to support the responsible use of behavioural data by organisations who want to grow consumer brands or drive social change. We provide a framework that helps businesses to rapidly create services that are both data protection compliant and trusted by consumers.

We think that one of the best ways of understanding what Coelition already does, and what it could do for your organisation, is to read our case studies below. ",https://coelition.org/case-studies/,Case studies,,,,"Publications, Parent",,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy Policy for Activinsights Band,"Lifestyle measurement and insight reporting from wearables.

    1 Consent
        1.1 Your personal data will be processed in accordance with your consent.
        1.2 This privacy notice sets out the manner in which and purposes for which your personal data will be processed and this information is provided to ensure that you are able to provide a freely given, specific, informed and unambiguous indication of consent to processing of your personal data.
        1.3 Where your consent is sought this shall satisfy the following requirements:
            1.3.1 Consent shall be freely given, specific, informed and unambiguous and shall be demonstrated by a clear affirmative action that confirms your agreement to the processing of your personal data.
            1.3.2 Consent shall be time-stamped and recorded and linked to the information available to you at the time your consent was provided.
            1.3.3 Where children's personal data are processed, additional requirements will apply depending on the nature and extent of the personal data processed. Parental or legal guardian supervision and consent will be required.
",https://coelition.org/business/privacy-policy-viewer/?url=https%3A%2F%2Fcoelition.org%2Fpolicies%2F%3Fpolicy%3D2076,terms,,,,,,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy Policy for mygymworld.club web access,"Provides personalised recommendations for physical activity in the local area of the customer.

    1 Consent
        1.1 Your personal data will be processed in accordance with your consent.
        1.2 This privacy notice sets out the manner in which and purposes for which your personal data will be processed and this information is provided to ensure that you are able to provide a freely given, specific, informed and unambiguous indication of consent to processing of your personal data.
        1.3 Where your consent is sought this shall satisfy the following requirements:
            1.3.1 Consent shall be freely given, specific, informed and unambiguous and shall be demonstrated by a clear affirmative action that confirms your agreement to the processing of your personal data.
            1.3.2 Consent shall be time-stamped and recorded and linked to the information available to you at the time your consent was provided.
            1.3.3 Where children's personal data are processed, additional requirements will apply depending on the nature and extent of the personal data processed. Parental or legal guardian supervision and consent will be required.
",https://coelition.org/business/privacy-policy-viewer/?url=https%3A%2F%2Fcoelition.org%2Fpolicies%2F%3Fpolicy%3D2055,terms,,,,,,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teen-Self-Esteem App,"Coelition would help the Teen-Self-Esteem App to collect real time information about social issues.

The Teen-Self-Esteem App is a hypothetical education and awareness campaign highlighting the issue of low self-esteem amongst teenagers.

The app gives teenagers a secure and accessible route to explore their feelings about their own self-esteem. It provides signposting to services from a wide range of agencies and handy hints to everyday coping strategies. The insights from anonymous responses within the app help agencies to understand the issues in real time so they can optimise their approaches.

The Teen-Self-Esteem App would be available free for iOS or Android with no directly identifying personal information or location information leaving the phone.
",https://coelition.org/case-studies/teen-self-esteem-app/,Case studies,,,,,,,,Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyGymWorld.Club,"Using Coelition, MyGymWorld.Club could give everyone access to professional, personalised exercise coaching.

MyGymWorld.Club is a service concept that promotes ways to achieve your exercise targets, without having to go to a gym.

The smart phone system uses information about location and lifestyle to make personalised recommendations about exercise options that fit how you live your life.

MyGymWorld.Club measures when and where you are most active encouraging you to more of these activities while identifying what you could change. It will make recommendations so that you can discover places and facilities close to where you work, live or travel.

The service can be extended with direct advice from professional coaches and data from wearables.
",https://coelition.org/case-studies/mygymworld-club/,Case studies,,,,,,,,MyGymWorld.Club: Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Activinsights
","Activinsights is using Coelition to help us care for the elderly and reduce the burden of disease.

Health professionals use Activinsights wearables and reports to gain insight about patient behaviours and daily activities.

Lifestyle is closely associated with the global challenges of heart disease, respiratory diseases, obesity, diabetes and ageing populations. Activinsights gives medical practitioners, researchers and healthcare providers the tools to measure daily life patterns accurately.

This objective measurement supports diagnosis, recovery, lifestyle management and behaviour change programmes. The information is used to help elderly patients stay in their own homes for longer, reducing hospital re-admissions and assisting in the care of those with life-long conditions.",https://coelition.org/case-studies/activinsights/,Case studies,,,,,,,,"Activinsights: Coelition
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.M Bond & Partners,"Coelition will give us all peace of mind when using internet-connected products.

J.M Bond & Partners is a hypothetical trusted department store with a strong home electrical offering. Their customers rely on them for low-jargon access to the latest technologies.

Their Smart Home Programme allows ordinary consumers to make use of the benefits of emerging internet-connected products without needing technical skills or worrying about security (hacking of the home through appliances).

The programme extends the J.M Bond & Partners brand into the home where it can provide additional, valued services based on their unique understanding of the individual’s use of products - from energy saving to home security or seasonal offers.
",https://coelition.org/case-studies/j-m-bond-partners/,Case studies,,,,,,,,J.M Bond: Coelition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiBank Direct PLC,"Coelition can help individuals to identify how their behaviours impact themselves and society.

We all create distinct patterns when we interact with large service infrastructures - financial, transport, retail and communications. These patterns are used to predict our behaviours but are not visible to us as individuals.

A hypothetical financial institution, MiBank Direct PLC, has deep understanding of how current spending behaviour maps to future financial status for their internal risk management processes. They decide to generate new data structures that show customers’ interactions without the financial details.

These are used to provide innovative consumer-centric services, developing a dialogue where customers can see how their behaviours compare to others and contribute to different financial outcomes.
",https://coelition.org/case-studies/mibank-direct-plc/,Case studies,,,,,,,,Mibank Direct PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Privacy Rights Information Governance Label,"Note: 0-to-5 of the boxes to be checked by the application, device, or service provider.
▢ 1. ​ No sharing: ​ The data is never shared with any external entities.​ It is not even shared in
de-identified form.
▢ 2. ​ No aggregation:​ The data is never aggregated with other types of input or data from
external sources.​ This includes mixing the data gathered via The Service with other data, such
as patient-reported outcomes.
▢ 3. ​ Always voluntary self-identification: ​ The user of The Service is able to choose their own
identity. ​ The user does not need to have their identity verified unless required by law.
▢ 4. ​ Digital agent support:​ The user is able to specify a digital agent, trustee, or equivalent
information manager, and this specified agent will not be subject to certification or
censorship.
▢ 5. ​ No vendor lock-in:​ The Service is easily and conveniently substitutable, so the user can
easily move their data to another vendor providing a similar service.​ This prevents vendor
lock-in and is often accomplished using Open Standards.
Indications for Use:​ The five separately self-asserted statements on the PPR Information
Governance Label are subject to legal enforcement as would the privacy policy associated with
The Service.",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3439701,,,,,,,,,Patient Privacy Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
